epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,61894.8,0.96144,0.59466,1.05912,0.88205,0.87656,0.94009,0.66966,0.99036,1.19429,1.01169,0.0011882,0.0011882,0.0011882
43,63355.5,0.95731,0.59714,1.06074,0.8799,0.88106,0.94206,0.68231,0.92753,0.53982,0.97916,0.0011684,0.0011684,0.0011684
44,64799.5,0.9257,0.57828,1.03893,0.88994,0.88091,0.93787,0.66966,0.97103,0.67191,1.00797,0.0011486,0.0011486,0.0011486
45,66241.8,0.92923,0.56864,1.03974,0.88435,0.88506,0.94555,0.68342,0.92745,0.62076,0.98091,0.0011288,0.0011288,0.0011288
46,67686.1,0.92585,0.5616,1.03739,0.89118,0.88256,0.93879,0.68245,0.9402,0.67855,0.99385,0.001109,0.001109,0.001109
47,69139,0.9182,0.56615,1.04266,0.86693,0.89105,0.94236,0.68635,0.91149,0.53069,0.97253,0.0010892,0.0010892,0.0010892
48,70627.8,0.91886,0.55758,1.0383,0.89509,0.87833,0.9419,0.69268,0.91432,0.4851,0.9799,0.0010694,0.0010694,0.0010694
49,72111.1,0.90981,0.54775,1.03093,0.88186,0.8804,0.94216,0.68927,0.92648,1.00135,0.98016,0.0010496,0.0010496,0.0010496
50,73601,0.90499,0.55001,1.03142,0.89162,0.88106,0.94572,0.69415,0.92146,0.52287,0.98183,0.0010298,0.0010298,0.0010298
51,75087.2,0.90288,0.54696,1.02866,0.88792,0.89076,0.94548,0.69382,0.91849,0.70997,0.96875,0.00101,0.00101,0.00101
52,76569.8,0.88532,0.53671,1.01884,0.86417,0.89955,0.94007,0.68658,0.93678,0.57461,0.98065,0.0009902,0.0009902,0.0009902
53,78050.3,0.89873,0.54566,1.0309,0.8797,0.89605,0.94257,0.69225,0.92169,0.76968,0.97773,0.0009704,0.0009704,0.0009704
54,79543,0.8831,0.5355,1.02251,0.88929,0.88756,0.94289,0.69122,0.91524,0.52836,0.97504,0.0009506,0.0009506,0.0009506
55,81030.2,0.88789,0.53049,1.02055,0.89072,0.88956,0.94599,0.70482,0.87903,0.50466,0.94722,0.0009308,0.0009308,0.0009308
56,82511.5,0.87421,0.52388,1.01544,0.87387,0.90372,0.94322,0.68266,0.92319,0.57732,0.97484,0.000911,0.000911,0.000911
57,83995.3,0.87296,0.52765,1.01365,0.88061,0.90306,0.94694,0.69966,0.88947,0.64909,0.96168,0.0008912,0.0008912,0.0008912
58,85487.5,0.85714,0.52117,1.00557,0.87017,0.89805,0.94107,0.69628,0.9038,0.5474,0.96253,0.0008714,0.0008714,0.0008714
59,86974,0.87535,0.51766,1.00881,0.86807,0.89766,0.93924,0.68914,0.93412,0.60793,0.98347,0.0008516,0.0008516,0.0008516
60,88463.4,0.83733,0.49859,0.99917,0.8912,0.87193,0.94274,0.69757,0.91713,0.50203,0.97426,0.0008318,0.0008318,0.0008318
61,89949.1,0.85726,0.51531,1.00777,0.86715,0.91012,0.94026,0.69729,0.89634,0.5444,0.9671,0.000812,0.000812,0.000812
62,91437.6,0.83933,0.50596,1.00121,0.8971,0.89205,0.94125,0.69187,0.91568,0.70857,0.97716,0.0007922,0.0007922,0.0007922
63,92931.6,0.84225,0.49733,1.00047,0.89286,0.88293,0.93651,0.6904,0.92256,0.53666,0.98408,0.0007724,0.0007724,0.0007724
64,94415.4,0.84139,0.50179,1.00153,0.89152,0.89941,0.9465,0.70222,0.89458,0.50114,0.96847,0.0007526,0.0007526,0.0007526
65,95905.4,0.83727,0.49206,0.99978,0.88739,0.88956,0.94058,0.69732,0.90157,0.51189,0.97193,0.0007328,0.0007328,0.0007328
66,97387.5,0.83627,0.49387,0.99927,0.88686,0.89706,0.94068,0.69401,0.89957,0.48711,0.96456,0.000713,0.000713,0.000713
67,98868.2,0.81418,0.47701,0.98429,0.89035,0.89255,0.9436,0.704,0.88696,0.46693,0.96422,0.0006932,0.0006932,0.0006932
68,100355,0.81394,0.47643,0.98998,0.87674,0.8993,0.94619,0.70494,0.89079,0.47299,0.95992,0.0006734,0.0006734,0.0006734
69,101834,0.81623,0.47999,0.99276,0.88433,0.89255,0.9466,0.7053,0.88695,0.48573,0.95845,0.0006536,0.0006536,0.0006536
70,103321,0.803,0.47262,0.98399,0.86653,0.91154,0.94317,0.69907,0.90308,0.51656,0.96865,0.0006338,0.0006338,0.0006338
71,104803,0.78876,0.46354,0.98177,0.87489,0.91604,0.94353,0.70621,0.88198,0.4732,0.96166,0.000614,0.000614,0.000614
72,106285,0.78897,0.45974,0.97835,0.86828,0.91554,0.94121,0.69942,0.88447,0.43831,0.96167,0.0005942,0.0005942,0.0005942
73,107771,0.77859,0.45817,0.97238,0.87251,0.90632,0.94454,0.71078,0.87776,0.44638,0.95099,0.0005744,0.0005744,0.0005744
74,109257,0.79163,0.45887,0.98166,0.89895,0.88475,0.94482,0.70469,0.88773,0.4827,0.9612,0.0005546,0.0005546,0.0005546
75,110746,0.78039,0.46119,0.9744,0.87659,0.91304,0.94311,0.70751,0.88319,0.48503,0.96187,0.0005348,0.0005348,0.0005348
76,112235,0.76798,0.45014,0.9717,0.89271,0.89403,0.94504,0.70387,0.90243,0.52708,0.96876,0.000515,0.000515,0.000515
77,113717,0.77025,0.45436,0.97118,0.89209,0.90066,0.94522,0.70698,0.88458,0.45933,0.96009,0.0004952,0.0004952,0.0004952
78,115202,0.76286,0.44419,0.97099,0.87421,0.90605,0.94667,0.70822,0.88863,0.48605,0.96134,0.0004754,0.0004754,0.0004754
79,116697,0.7587,0.44272,0.9681,0.88421,0.89685,0.9414,0.71167,0.86777,0.46995,0.95416,0.0004556,0.0004556,0.0004556
